# domain	grade	kind	question	answer
# GSM8K teach pack generated 2026-07-30T01:59:50.605888+00:00
# kinds: calc=hop atom, word=full Q, bridge=last-step→final
math	gsm8k	calc	48/2	24
math	gsm8k	calc	48 divided by 2	24
math	gsm8k	calc	48+24	72
math	gsm8k	calc	48 plus 24	72
math	gsm8k	word	Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?	72
math	gsm8k	bridge	last step 48+24	72
math	gsm8k	bridge	result of 48+24	72
math	gsm8k	calc	12/60	0.2
math	gsm8k	calc	12 divided by 60	0.2
math	gsm8k	calc	0.2*50	10
math	gsm8k	calc	0.2 times 50	10
math	gsm8k	word	Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?	10
math	gsm8k	bridge	last step 0.2*50	10
math	gsm8k	bridge	result of 0.2*50	10
math	gsm8k	calc	100/2	50
math	gsm8k	calc	100 divided by 2	50
math	gsm8k	calc	15*2	30
math	gsm8k	calc	15 times 2	30
math	gsm8k	calc	100-50-30-15	5
math	gsm8k	word	Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more 	5
math	gsm8k	bridge	last step 100-50-30-15	5
math	gsm8k	bridge	result of 100-50-30-15	5
math	gsm8k	calc	12*2	24
math	gsm8k	calc	12 times 2	24
math	gsm8k	calc	12+24	36
math	gsm8k	calc	12 plus 24	36
math	gsm8k	calc	120-36	84
math	gsm8k	calc	120 minus 36	84
math	gsm8k	calc	84/2	42
math	gsm8k	calc	84 divided by 2	42
math	gsm8k	word	Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?	42
math	gsm8k	bridge	last step 84/2	42
math	gsm8k	bridge	result of 84/2	42
math	gsm8k	calc	3*2	6
math	gsm8k	calc	3 times 2	6
math	gsm8k	calc	6*2	12
math	gsm8k	calc	6 times 2	12
math	gsm8k	calc	12*52	624
math	gsm8k	calc	12 times 52	624
math	gsm8k	word	James writes a 3-page letter to 2 different friends twice a week. How many pages does he write a year?	624
math	gsm8k	bridge	last step 12*52	624
math	gsm8k	bridge	result of 12*52	624
math	gsm8k	calc	80/100*10	8
math	gsm8k	calc	10+8	18
math	gsm8k	calc	10 plus 8	18
math	gsm8k	calc	10+18	28
math	gsm8k	calc	10 plus 18	28
math	gsm8k	calc	25/100*28	7
math	gsm8k	calc	28+7	35
math	gsm8k	calc	28 plus 7	35
math	gsm8k	word	Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purpl	35
math	gsm8k	bridge	last step 28+7	35
math	gsm8k	bridge	result of 28+7	35
math	gsm8k	calc	2*16	32
math	gsm8k	calc	2 times 16	32
math	gsm8k	calc	2*8	16
math	gsm8k	calc	2 times 8	16
math	gsm8k	calc	32+16	48
math	gsm8k	calc	32 plus 16	48
math	gsm8k	word	Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?	48
math	gsm8k	bridge	last step 32+16	48
math	gsm8k	bridge	result of 32+16	48
math	gsm8k	calc	2*3	6
math	gsm8k	calc	2 times 3	6
math	gsm8k	calc	6+2	8
math	gsm8k	calc	6 plus 2	8
math	gsm8k	calc	8*2	16
math	gsm8k	calc	8 times 2	16
math	gsm8k	word	Ken created a care package to send to his brother, who was away at boarding school. Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds. Then, he added enough b	16
math	gsm8k	bridge	last step 8*2	16
math	gsm8k	bridge	result of 8*2	16
math	gsm8k	calc	+30+46+38+11+18	143
math	gsm8k	calc	184-143	41
math	gsm8k	calc	184 minus 143	41
math	gsm8k	word	Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a sui	41
math	gsm8k	bridge	last step 184-143	41
math	gsm8k	bridge	result of 184-143	41
math	gsm8k	calc	8*18	144
math	gsm8k	calc	8 times 18	144
math	gsm8k	calc	10-8	2
math	gsm8k	calc	10 minus 8	2
math	gsm8k	calc	18*.5	9
math	gsm8k	calc	18+9	27
math	gsm8k	calc	18 plus 9	27
math	gsm8k	calc	144*5	720
math	gsm8k	calc	144 times 5	720
math	gsm8k	calc	27*2	54
math	gsm8k	calc	27 times 2	54
math	gsm8k	calc	720+270	990
math	gsm8k	calc	720 plus 270	990
math	gsm8k	word	Tina makes $18.00 an hour. If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage. If she works 10 hours every day for 5 days, how much money does	990
math	gsm8k	bridge	last step 720+270	990
math	gsm8k	bridge	result of 720+270	990
math	gsm8k	calc	2*2	4
math	gsm8k	calc	2 times 2	4
math	gsm8k	calc	847/7	121
math	gsm8k	calc	847 divided by 7	121
math	gsm8k	word	A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has	121
math	gsm8k	bridge	last step 847/7	121
math	gsm8k	bridge	result of 847/7	121
math	gsm8k	calc	95+15	110
math	gsm8k	calc	95 plus 15	110
math	gsm8k	calc	3*5	15
math	gsm8k	calc	3 times 5	15
math	gsm8k	calc	4*15	60
math	gsm8k	calc	4 times 15	60
math	gsm8k	calc	110-60-15	35
math	gsm8k	calc	35/7	5
math	gsm8k	calc	35 divided by 7	5
math	gsm8k	word	Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a	5
math	gsm8k	bridge	last step 35/7	5
math	gsm8k	bridge	result of 35/7	5
math	gsm8k	calc	60/2	30
math	gsm8k	calc	60 divided by 2	30
math	gsm8k	calc	30-5	25
math	gsm8k	calc	30 minus 5	25
math	gsm8k	calc	60+25	85
math	gsm8k	calc	60 plus 25	85
math	gsm8k	word	Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?	85
math	gsm8k	bridge	last step 60+25	85
math	gsm8k	bridge	result of 60+25	85
math	gsm8k	calc	10/2	5
math	gsm8k	calc	10 divided by 2	5
math	gsm8k	calc	10*2	20
math	gsm8k	calc	10 times 2	20
math	gsm8k	calc	10+5+20	35
math	gsm8k	word	Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of 	35
math	gsm8k	bridge	last step 10+5+20	35
math	gsm8k	bridge	result of 10+5+20	35
math	gsm8k	calc	8*3	24
math	gsm8k	calc	8 times 3	24
math	gsm8k	calc	120/24	5
math	gsm8k	calc	120 divided by 24	5
math	gsm8k	word	Joy can read 8 pages of a book in 20 minutes. How many hours will it take her to read 120 pages?	5
math	gsm8k	bridge	last step 120/24	5
math	gsm8k	bridge	result of 120/24	5
math	gsm8k	calc	6*2.5	15
math	gsm8k	calc	6 times 2.5	15
math	gsm8k	calc	15-6	9
math	gsm8k	calc	15 minus 6	9
math	gsm8k	calc	9*500	4500
math	gsm8k	calc	9 times 500	4500
math	gsm8k	calc	4500*5	22500
math	gsm8k	calc	4500 times 5	22500
math	gsm8k	calc	22500*20	450000
math	gsm8k	calc	22500 times 20	450000
math	gsm8k	calc	450000-2000	448000
math	gsm8k	calc	450000 minus 2000	448000
math	gsm8k	word	James creates a media empire. He creates a movie for $2000. Each DVD cost $6 to make. He sells it for 2.5 times that much. He sells 500 movies a day for 5 days a week. How much profit does he make in 20 weeks?	448000
math	gsm8k	bridge	last step 450000-2000	448000
math	gsm8k	bridge	result of 450000-2000	448000
math	gsm8k	calc	2500/5	500
math	gsm8k	calc	2500 divided by 5	500
math	gsm8k	calc	2*500	1000
math	gsm8k	calc	2 times 500	1000
math	gsm8k	calc	1000-200	800
math	gsm8k	calc	1000 minus 200	800
math	gsm8k	word	The profit from a business transaction is shared among 2 business partners, Mike and Johnson in the ratio 2:5 respectively. If Johnson got $2500, how much will Mike have after spending some of his share on a shirt that c	800
math	gsm8k	bridge	last step 1000-200	800
math	gsm8k	bridge	result of 1000-200	800
math	gsm8k	calc	26-4	22
math	gsm8k	calc	26 minus 4	22
math	gsm8k	calc	22-6	16
math	gsm8k	calc	22 minus 6	16
math	gsm8k	calc	6*2	12
math	gsm8k	calc	6 times 2	12
math	gsm8k	calc	15-12	3
math	gsm8k	calc	15 minus 12	3
math	gsm8k	calc	3+16	19
math	gsm8k	calc	3 plus 16	19
math	gsm8k	calc	19+24	43
math	gsm8k	calc	19 plus 24	43
math	gsm8k	word	In a truck, there are 26 pink hard hats, 15 green hard hats, and 24 yellow hard hats. If Carl takes away 4 pink hard hats, and John takes away 6 pink hard hats and twice as many green hard hats as the number of pink hard	43
math	gsm8k	bridge	last step 19+24	43
math	gsm8k	bridge	result of 19+24	43
math	gsm8k	calc	2*3	6
math	gsm8k	calc	2 times 3	6
math	gsm8k	calc	6*2	12
math	gsm8k	calc	6 times 2	12
math	gsm8k	calc	1*2	2
math	gsm8k	calc	1 times 2	2
math	gsm8k	calc	2*2	4
math	gsm8k	calc	2 times 2	4
