# domain	grade	kind	question	answer
# Linguistics RULES (reading+writing) 2026-07-30T02:29:40.271899+00:00
# kind=form|why|how|apply — teach rules, reasons, procedures
literacy	rules	form	What is the form of PH-001 Letter-sound map?	letter → primary sound
literacy	rules	why	Why does PH-001 exist?	Readers decode print by mapping letters to speech sounds.
literacy	rules	how	How do you apply PH-001?	See the letter; say its usual sound; blend sounds left to right.
literacy	rules	apply	What does phonics map letters to?	sounds
literacy	rules	example	Example of PH-001	b → /b/
literacy	rules	example	Example of PH-001	s → /s/
literacy	rules	form	What is the form of PH-010 CVC short vowel?	C V C → short vowel sound
literacy	rules	why	Why does PH-010 exist?	Three-letter CVC words keep the middle vowel short in English patterns.
literacy	rules	how	How do you apply PH-010?	Identify consonant-vowel-consonant; pronounce vowel as short (cat, bed, sit).
literacy	rules	apply	In CVC words the middle vowel is usually?	short
literacy	rules	example	Example of PH-010	cat
literacy	rules	example	Example of PH-010	bed
literacy	rules	form	What is the form of PH-020 Silent final e?	CVCe → long vowel; final e silent
literacy	rules	why	Why does PH-020 exist?	Final e often marks the preceding vowel as long (makes the vowel say its name).
literacy	rules	how	How do you apply PH-020?	If a word ends in vowel-consonant-e, try long vowel + silent e (cake, like, hope).
literacy	rules	apply	Final e in cake is?	silent
literacy	rules	example	Example of PH-020	cake
literacy	rules	example	Example of PH-020	like
literacy	rules	form	What is the form of PH-030 Consonant digraph?	two letters → one sound (sh, ch, th, wh)
literacy	rules	why	Why does PH-030 exist?	Some letter pairs stand for a single sound, not two separate sounds.
literacy	rules	how	How do you apply PH-030?	When you see sh/ch/th/wh, produce one combined sound.
literacy	rules	apply	sh in ship is a?	digraph
literacy	rules	example	Example of PH-030	ship=/sh/
literacy	rules	example	Example of PH-030	chip=/ch/
literacy	rules	form	What is the form of PH-040 Blend left to right?	sound1+sound2+… → spoken word
literacy	rules	why	Why does PH-040 exist?	Blending turns decoded sounds into a recognizable word.
literacy	rules	how	How do you apply PH-040?	Say each sound in order without stopping; then say the whole word smoothly.
literacy	rules	apply	Blending joins sounds from?	left
literacy	rules	example	Example of PH-040	c
literacy	rules	example	Example of PH-040	-
literacy	rules	form	What is the form of MO-010 Plural -s?	noun + s → more than one (regular)
literacy	rules	why	Why does MO-010 exist?	English marks many plurals by adding -s so number is clear in writing and speech.
literacy	rules	how	How do you apply MO-010?	If the noun is regular plural, add -s (cats, dogs). Watch irregulars separately.
literacy	rules	apply	Many plurals add?	s
literacy	rules	example	Example of MO-010	cat→cats
literacy	rules	example	Example of MO-010	book→books
literacy	rules	form	What is the form of MO-020 Past tense -ed?	verb + ed → past (regular)
literacy	rules	why	Why does MO-020 exist?	Regular past tense uses -ed so time of action is marked.
literacy	rules	how	How do you apply MO-020?	For regular verbs, add -ed for past (walk→walked). Check irregulars (go→went).
literacy	rules	apply	Many past tense verbs end in?	ed
literacy	rules	example	Example of MO-020	walk→walked
literacy	rules	example	Example of MO-020	jump→jumped
literacy	rules	form	What is the form of MO-030 Prefix un-?	un- + base → not / opposite
literacy	rules	why	Why does MO-030 exist?	Prefixes change meaning systematically without rewriting the whole word.
literacy	rules	how	How do you apply MO-030?	If un- is attached, interpret as not or opposite (happy→unhappy).
literacy	rules	apply	Prefix un often means?	not
literacy	rules	example	Example of MO-030	unhappy=not happy
literacy	rules	example	Example of MO-030	unlock=reverse lock
literacy	rules	form	What is the form of MO-040 Suffix -er (agent)?	verb + er → one who does
literacy	rules	why	Why does MO-040 exist?	Agentive -er names a person or thing that performs the action.
literacy	rules	how	How do you apply MO-040?	Teach + er → teacher (one who teaches), when the pattern fits.
literacy	rules	apply	Suffix er can mean?	one
literacy	rules	example	Example of MO-040	teach→teacher
literacy	rules	example	Example of MO-040	read→reader
literacy	rules	form	What is the form of MO-050 Progressive -ing?	verb + ing → ongoing action
literacy	rules	why	Why does MO-050 exist?	-ing marks continuous/progressive aspect (action in progress).
literacy	rules	how	How do you apply MO-050?	Add -ing for ongoing action (run→running; drop silent-e: make→making).
literacy	rules	apply	Ending ing often shows action is?	ongoing
literacy	rules	example	Example of MO-050	run→running
literacy	rules	example	Example of MO-050	make→making
literacy	rules	form	What is the form of GR-010 Sentence capital start?	sentence → starts with capital letter
literacy	rules	why	Why does GR-010 exist?	Capitals mark the beginning of a sentence so the reader can segment text.
literacy	rules	how	How do you apply GR-010?	Begin every sentence with an uppercase letter.
literacy	rules	apply	A sentence starts with a?	capital
literacy	rules	example	Example of GR-010	T
literacy	rules	example	Example of GR-010	h
literacy	rules	form	What is the form of GR-020 Statement ends with period?	statement → ends with .
literacy	rules	why	Why does GR-020 exist?	End punctuation tells the reader how to read the sentence type.
literacy	rules	how	How do you apply GR-020?	End a telling sentence with a period.
literacy	rules	apply	A sentence ends with a?	period
literacy	rules	example	Example of GR-020	I
literacy	rules	example	Example of GR-020	 
literacy	rules	form	What is the form of GR-030 Question ends with ??	question → ends with ?
literacy	rules	why	Why does GR-030 exist?	Question marks signal that the sentence asks for information.
literacy	rules	how	How do you apply GR-030?	If the sentence asks, end with a question mark.
literacy	rules	apply	A question ends with a question?	mark
literacy	rules	example	Example of GR-030	W
literacy	rules	example	Example of GR-030	h
literacy	rules	form	What is the form of GR-040 Noun names?	noun → person | place | thing | idea
literacy	rules	why	Why does GR-040 exist?	Nouns name entities so propositions can refer to them.
literacy	rules	how	How do you apply GR-040?	Ask: is this a who/what naming word? If yes, treat as noun.
literacy	rules	apply	A noun can name a person place or?	thing
literacy	rules	example	Example of GR-040	dog
literacy	rules	example	Example of GR-040	school
literacy	rules	form	What is the form of GR-050 Verb action?	verb → action | state
literacy	rules	why	Why does GR-050 exist?	Verbs carry the action or state of the clause.
literacy	rules	how	How do you apply GR-050?	Find what the subject does or is; that word is the verb.
literacy	rules	apply	A verb names an?	action
literacy	rules	example	Example of GR-050	run
literacy	rules	example	Example of GR-050	is
literacy	rules	form	What is the form of GR-060 Adjective describes noun?	adjective + noun → described noun
literacy	rules	why	Why does GR-060 exist?	Adjectives add properties so referents are distinguished.
literacy	rules	how	How do you apply GR-060?	If a word answers what kind / which one / how many about a noun, it is an adjective.
literacy	rules	apply	An adjective describes a?	noun
literacy	rules	example	Example of GR-060	red ball
literacy	rules	example	Example of GR-060	three cats
literacy	rules	form	What is the form of GR-070 Subject does action?	subject → does the action
literacy	rules	why	Why does GR-070 exist?	Subject is the clause’s actor/topic for the predicate.
literacy	rules	how	How do you apply GR-070?	Ask who or what is doing the action; that is the subject.
literacy	rules	apply	The subject does the?	action
literacy	rules	example	Example of GR-070	T
literacy	rules	example	Example of GR-070	h
literacy	rules	form	What is the form of GR-080 Predicate tells action?	predicate → tells the action/state
literacy	rules	why	Why does GR-080 exist?	Predicate completes the claim about the subject.
literacy	rules	how	How do you apply GR-080?	Everything that tells what the subject does/is is the predicate.
literacy	rules	apply	The predicate tells the?	action
literacy	rules	example	Example of GR-080	T
literacy	rules	example	Example of GR-080	h
literacy	rules	form	What is the form of GR-090 Pronoun replaces noun?	pronoun ↔ noun (same referent)
literacy	rules	why	Why does GR-090 exist?	Pronouns avoid repeating nouns while keeping reference.
literacy	rules	how	How do you apply GR-090?	Replace a known noun with he/she/it/they when clear.
literacy	rules	apply	A pronoun replaces a?	noun
literacy	rules	example	Example of GR-090	Sam → he
literacy	rules	example	Example of GR-090	the cats → they
literacy	rules	form	What is the form of GR-100 Comma separates list items?	A, B, and C
literacy	rules	why	Why does GR-100 exist?	Commas segment list items so the reader does not fuse them.
literacy	rules	how	How do you apply GR-100?	In a list of three or more, separate items with commas.
literacy	rules	apply	A comma can separate?	items
literacy	rules	example	Example of GR-100	a
literacy	rules	example	Example of GR-100	p
literacy	rules	form	What is the form of RD-010 Main idea?	main idea = central point of text
literacy	rules	why	Why does RD-010 exist?	Main idea focuses comprehension on what the text is mostly about.
literacy	rules	how	How do you apply RD-010?	After reading, ask: what is this mostly about? State it in one sentence.
literacy	rules	apply	The main idea is the central?	point
literacy	rules	form	What is the form of RD-020 Context clues?	unknown word + nearby text → meaning
literacy	rules	why	Why does RD-020 exist?	Context lets readers infer unfamiliar words without stopping for a dictionary every time.
